,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (F),Wind Speed
99,nenjiang,0,CN,1570715899,38,49.17,125.23,31.6,7.05
100,bontang,100,ID,1570715899,84,0.12,117.47,80.89,8.09
101,port lincoln,0,AU,1570715899,88,-34.72,135.86,51.87,12.93
102,narsaq,5,GL,1570715900,59,60.91,-46.05,37.4,2.24
103,aguimes,20,ES,1570715900,65,27.91,-15.45,78.8,18.34
104,rousinov,75,CZ,1570715900,82,49.2,16.88,61.0,13.87
105,piskivka,75,UA,1570715900,44,50.7,29.59,60.8,8.95
106,airai,35,TL,1570715901,34,-8.93,125.41,64.96,4.97
107,butaritari,98,KI,1570715901,62,3.07,172.79,84.34,9.1
108,boundiali,100,CI,1570715901,77,9.53,-6.48,82.53,3.27
109,port macquarie,40,AU,1570715901,93,-31.43,152.91,55.99,1.12
110,puerto del rosario,20,ES,1570715902,65,28.5,-13.86,77.0,9.17
111,te anau,100,NZ,1570715902,93,-45.41,167.72,42.04,12.04
112,tasiilaq,75,GL,1570715902,80,65.61,-37.64,35.6,5.82
113,ribeira grande,20,PT,1570715902,60,38.52,-28.7,73.4,10.29
114,xichang,96,CN,1570715903,97,27.88,102.25,48.7,4.39
115,aktau,0,KZ,1570715903,29,43.65,51.16,62.6,11.18
116,kahului,40,US,1570715903,100,20.89,-156.47,78.01,12.75
117,longyearbyen,20,NO,1570715903,73,78.22,15.63,26.6,18.34
118,deputatskiy,100,RU,1570715904,95,69.3,139.9,9.73,0.7
119,saskylakh,97,RU,1570715904,94,71.97,114.09,11.05,12.91
120,chihuahua,0,MX,1570715904,57,28.66,-106.08,67.05,6.91
121,salalah,20,OM,1570715904,79,17.01,54.1,84.2,12.75
122,la ronge,20,CA,1570715905,92,55.1,-105.3,23.0,5.82
123,chapais,1,CA,1570715905,81,49.78,-74.86,42.8,4.7
124,codrington,75,AU,1570715905,87,-28.95,153.24,59.0,3.87
125,ilulissat,5,GL,1570715905,46,69.22,-51.1,28.4,17.22
126,pisco,90,PE,1570715905,30,-13.71,-76.2,71.6,3.36
127,coquimbo,90,CL,1570715905,87,-29.95,-71.34,53.6,5.82
128,vilhena,86,BR,1570715906,78,-12.74,-60.15,78.8,12.75
129,kozulka,75,UA,1570715906,54,50.04,23.8,59.0,11.18
130,salinopolis,90,BR,1570715906,77,-0.61,-47.36,80.96,21.22
131,oktyabrskoye,0,RU,1570715906,45,56.73,85.44,39.99,11.97
132,saldanha,0,PT,1570715906,31,41.42,-6.55,73.11,5.38
133,swan hill,16,AU,1570715907,91,-35.34,143.56,42.08,7.42
134,victoria,75,BN,1570715907,83,5.28,115.24,80.6,6.17
135,lhokseumawe,53,ID,1570715907,90,5.18,97.15,71.02,2.47
136,hay river,90,CA,1570715907,100,60.82,-115.79,30.2,4.7
137,thompson,75,CA,1570715907,73,55.74,-97.86,26.6,3.36
138,qaanaaq,99,GL,1570715908,70,77.48,-69.36,23.29,11.63
139,panzhihua,50,CN,1570715908,78,26.59,101.72,63.3,2.54
140,key west,90,US,1570715908,93,47.93,-96.78,37.99,13.87
141,ponta delgada,20,PT,1570715908,53,37.73,-25.67,71.6,6.93
142,miguel calmon,89,BR,1570715909,31,-11.43,-40.6,86.43,9.96
143,waitara,100,NZ,1570715909,95,-39.0,174.24,52.0,13.0
144,port hedland,0,AU,1570715909,78,-20.31,118.58,75.2,6.93
145,hasaki,75,JP,1570715909,100,35.73,140.83,64.4,14.99
146,katangli,0,RU,1570715910,78,51.71,143.23,49.05,9.2
147,jumla,0,NP,1570715910,93,29.28,82.18,44.13,3.32
148,laguna,75,BZ,1570715910,94,16.17,-88.94,78.8,1.53
149,arraial do cabo,75,BR,1570715910,88,-22.97,-42.02,73.4,4.7
150,padang,64,ID,1570715910,96,-0.92,100.36,67.71,1.46
151,temyasovo,0,RU,1570715910,86,52.99,58.1,32.56,6.66
152,kruisfontein,17,ZA,1570715911,60,-34.0,24.73,60.82,16.57
153,lesosibirsk,0,RU,1570715911,62,58.22,92.49,26.47,5.12
154,sovetskiy,100,RU,1570715911,96,56.76,48.47,41.47,6.53
155,vao,100,EE,1570715911,93,59.1,26.19,46.18,1.98
156,rocha,55,UY,1570715912,63,-34.48,-54.34,78.66,12.55
157,mount isa,0,AU,1570715912,11,-20.73,139.49,69.8,6.93
158,pitimbu,75,BR,1570715912,62,-7.47,-34.81,84.2,18.34
159,honiara,40,SB,1570715912,94,-9.43,159.96,77.0,2.04
160,mersing,11,MY,1570715912,70,2.43,103.84,84.61,7.4
161,eureka,1,US,1570715913,29,40.8,-124.16,55.99,4.7
162,mitu,0,IR,1570715913,58,36.2,46.09,55.36,2.44
163,kidal,87,ML,1570715913,26,18.44,1.41,96.82,17.09
164,presidencia roque saenz pena,0,AR,1570715913,30,-26.79,-60.44,93.07,11.37
165,nanortalik,0,GL,1570715913,71,60.14,-45.24,39.16,9.27
166,nikolskoye,90,RU,1570715914,87,59.7,30.79,46.0,6.71
167,aquiraz,40,BR,1570715914,52,-3.9,-38.39,87.8,16.11
168,coihaique,75,CL,1570715914,70,-45.58,-72.07,48.2,9.17
169,marzuq,59,YE,1570715914,32,14.4,46.47,82.44,9.13
170,padampur,0,IN,1570715915,21,29.71,73.62,85.42,4.02
171,tessalit,93,ML,1570715915,25,20.2,1.01,95.85,16.5
172,nhulunbuy,53,AU,1570715915,88,-12.18,136.78,71.6,1.12
173,chumikan,0,RU,1570715915,57,54.72,135.31,31.57,22.25
174,lahaina,40,US,1570715915,100,20.87,-156.68,78.01,12.75
175,lavrentiya,0,RU,1570715916,71,65.58,-170.99,31.19,9.18
176,tual,100,ID,1570715916,87,-5.67,132.75,78.53,9.32
177,lagoa,0,PT,1570715916,57,37.14,-8.45,82.0,10.29
178,cidreira,0,BR,1570715916,86,-30.17,-50.22,67.73,9.65
179,fortuna,1,US,1570715917,29,40.6,-124.16,55.99,4.7
180,talnakh,69,RU,1570715917,63,69.49,88.39,15.69,11.87
181,bethel,90,US,1570715917,100,60.79,-161.76,37.4,5.82
182,kalianget,40,ID,1570715917,66,-7.35,109.91,84.2,3.36
183,leningradskiy,0,RU,1570715917,71,69.38,178.42,22.12,8.49
184,barra patuca,100,HN,1570715918,83,15.8,-84.28,80.53,7.82
185,torbay,40,CA,1570715918,81,47.66,-52.73,53.01,6.93
186,ketchikan,90,US,1570715918,93,55.34,-131.65,44.6,3.36
187,bud,100,NO,1570715918,66,62.91,6.91,54.0,5.82
188,khani,0,GE,1570715918,47,41.96,42.96,78.8,14.99
189,guerrero negro,9,MX,1570715918,78,27.97,-114.04,65.41,10.44
190,komsomolskiy,100,RU,1570715919,98,67.55,63.78,33.67,12.07
191,punta de piedra,100,VE,1570715919,94,7.62,-71.49,75.38,1.62
192,fatick,53,SN,1570715919,48,14.33,-16.4,90.81,2.61
193,contai,61,IN,1570715919,86,21.78,87.75,78.71,4.62
194,beringovskiy,99,RU,1570715919,66,63.05,179.32,32.04,2.14
195,bahia blanca,68,AR,1570715920,33,-38.72,-62.27,73.15,13.05
196,pringsewu,98,ID,1570715920,98,-5.36,104.98,70.23,2.99
197,verkhnyaya toyma,96,RU,1570715920,93,62.24,45.0,35.92,4.73
198,fuerte olimpo,0,BR,1570715920,27,-21.04,-57.87,98.83,6.76
199,evensk,100,RU,1570715920,81,61.92,159.24,28.99,10.06
200,samarai,85,PG,1570715921,94,-10.62,150.67,73.31,4.75
201,rognan,20,NO,1570715921,56,67.1,15.4,44.01,12.75
202,chuy,69,UY,1570715921,67,-33.69,-53.46,74.23,6.19
203,vysokogornyy,99,RU,1570715921,96,50.1,139.13,46.44,6.52
204,parabel,100,RU,1570715921,66,58.71,81.5,35.85,9.48
205,ponta do sol,100,BR,1570715921,73,-20.63,-46.0,73.26,7.74
206,fort nelson,20,CA,1570715922,86,58.81,-122.69,26.6,4.7
207,yar-sale,100,RU,1570715922,87,66.83,70.83,44.94,19.75
208,sioux lookout,90,CA,1570715922,100,50.1,-91.92,44.6,4.7
209,tres arroyos,40,AR,1570715922,34,-38.38,-60.28,75.42,15.1
210,hemnesberget,75,NO,1570715922,60,66.23,13.61,44.6,2.24
211,gigmoto,33,PH,1570715923,78,13.78,124.39,81.9,11.26
212,canguaretama,40,BR,1570715923,70,-6.38,-35.14,84.2,19.46
213,prince rupert,20,CA,1570715923,93,54.32,-130.32,41.0,4.7
214,nome,1,US,1570715923,88,30.04,-94.42,82.99,9.89
215,iqaluit,90,CA,1570715923,93,63.75,-68.52,35.6,11.41
216,lac du bonnet,100,CA,1570715924,100,50.25,-96.06,35.01,12.16
217,saint-joseph,15,FR,1570715924,64,43.56,6.97,77.0,5.82
218,kavieng,0,PG,1570715924,71,-2.57,150.8,83.75,6.11
219,havoysund,40,NO,1570715924,86,71.0,24.66,39.2,11.41
220,port-cartier,5,CA,1570715924,66,50.03,-66.88,48.2,3.36
221,trimbak,0,IN,1570715925,70,19.93,73.53,74.26,3.27
222,yasnogorsk,100,RU,1570715925,93,54.48,37.69,50.04,19.63
223,grindavik,75,IS,1570715925,70,63.84,-22.43,44.6,17.22
224,altamira,75,BR,1570715925,70,-3.2,-52.21,84.2,9.17
225,tuktoyaktuk,75,CA,1570715926,77,69.44,-133.03,32.0,3.36
226,syamzha,85,RU,1570715926,95,60.02,41.06,36.16,5.37
227,vestmannaeyjar,20,IS,1570715926,61,63.44,-20.27,46.4,19.46
228,matara,72,BI,1570715926,71,-3.48,29.48,69.22,2.01
229,dikson,99,RU,1570715926,83,73.51,80.55,29.28,24.68
230,kitimat,20,CA,1570715926,92,54.02,-128.69,28.4,2.24
231,astoria,1,US,1570715927,86,46.19,-123.83,43.0,4.7
232,plettenberg bay,0,ZA,1570715927,72,-34.05,23.37,59.5,14.63
233,tokur,67,RU,1570715927,91,53.13,132.9,22.71,5.0
234,balclutha,100,NZ,1570715927,87,-46.24,169.74,45.0,25.01
235,kieta,0,PG,1570715928,81,-6.22,155.63,79.77,5.81
236,mount gambier,100,AU,1570715928,93,-37.83,140.78,42.8,3.22
237,tugulym,100,RU,1570715928,74,57.06,64.64,46.0,5.92
238,axim,100,GH,1570715928,68,4.87,-2.24,83.61,10.22
239,karatau,100,KZ,1570715928,66,43.18,70.46,52.0,4.0
240,paracatu,59,BR,1570715929,33,-17.22,-46.87,88.36,9.41
241,calama,0,CL,1570715929,6,-22.46,-68.93,71.01,9.17
242,constitucion,20,MX,1570715929,100,23.99,-104.67,60.01,3.36
243,iwanai,100,JP,1570715929,82,42.97,140.51,51.48,6.37
244,manzanillo,90,MX,1570715930,88,19.05,-104.32,78.8,6.93
245,camocim,1,BR,1570715930,30,-2.9,-40.84,97.07,9.29
246,cururupu,100,BR,1570715930,60,-1.82,-44.87,84.33,7.31
247,port-gentil,75,GA,1570715930,88,-0.72,8.78,80.6,13.87
248,cacequi,0,BR,1570715930,56,-29.88,-54.83,81.16,6.44
249,grand gaube,75,MU,1570715931,60,-20.01,57.66,75.2,17.22
250,victor harbor,20,AU,1570715931,71,-35.55,138.62,54.0,10.29
251,mecca,1,SA,1570715931,51,21.43,39.83,87.33,14.94
252,kaitangata,100,NZ,1570715931,87,-46.28,169.85,45.0,25.01
253,ciparay,100,ID,1570715931,88,-6.71,106.36,75.16,1.54
254,shcherbinka,90,RU,1570715931,93,55.51,37.57,46.4,13.42
255,port blair,5,IN,1570715932,68,11.67,92.75,83.88,3.18
256,yetkul,100,RU,1570715932,69,54.83,61.59,39.42,10.14
257,coffs harbour,40,AU,1570715932,87,-30.3,153.13,57.2,8.05
258,greece,1,US,1570715932,81,43.21,-77.69,55.0,4.7
259,marsh harbour,64,BS,1570715932,74,26.54,-77.06,81.57,11.75
260,malanje,100,AO,1570715933,91,-9.54,16.35,67.55,1.33
261,kungurtug,0,RU,1570715933,53,50.6,97.53,24.17,1.02
262,mosalsk,100,RU,1570715933,93,54.49,34.98,49.51,14.81
263,egvekinot,15,RU,1570715934,86,66.32,-179.17,13.59,1.69
264,berlevag,75,NO,1570715934,80,70.86,29.09,41.0,4.7
265,aklavik,40,CA,1570715934,92,68.22,-135.01,33.8,2.24
266,pishin,0,PK,1570715935,18,30.58,67.0,67.37,6.62
267,zharkent,0,KZ,1570715935,42,44.17,80.0,62.1,8.17
268,pacific grove,1,US,1570715935,28,36.62,-121.92,57.99,12.75
269,nantucket,90,US,1570715935,93,41.28,-70.1,54.0,21.92
270,morro bay,90,US,1570715936,100,35.37,-120.85,51.01,7.82
271,kenai,90,US,1570715936,100,60.55,-151.26,42.8,9.17
272,shimoda,100,JP,1570715936,93,34.7,138.93,70.0,1.01
273,araouane,18,ML,1570715936,9,18.9,-3.53,99.99,9.95
274,eyl,0,SO,1570715936,84,7.98,49.82,80.98,9.06
275,hervey bay,40,AU,1570715937,72,-25.3,152.85,68.0,5.82
276,mazamet,90,FR,1570715937,52,43.49,2.38,73.99,10.29
277,esperance,0,AU,1570715937,87,-33.86,121.89,57.2,6.93
278,iglas,40,IN,1570715937,61,27.71,77.94,80.6,1.12
279,taiyuan,100,CN,1570715937,76,37.86,112.56,57.2,2.24
280,mandalgovi,98,MN,1570715938,49,45.76,106.27,36.16,14.24
281,naze,75,NG,1570715938,66,5.43,7.07,87.8,5.82
282,gat,40,SN,1570715938,66,14.69,-16.54,87.8,5.82
283,birin,40,NP,1570715938,83,26.89,88.07,77.0,2.24
284,sao felix do xingu,87,BR,1570715938,39,-6.64,-51.99,94.35,5.89
285,hrinova,40,SK,1570715939,47,48.58,19.53,59.0,6.93
286,saint-marc,49,HT,1570715939,71,19.1,-72.7,80.15,2.56
287,husavik,100,CA,1570715939,97,50.56,-96.99,35.01,10.0
288,alzamay,0,RU,1570715939,59,55.55,98.67,23.61,1.7
289,ballina,75,IE,1570715939,82,54.11,-9.15,59.0,16.11
290,tilichiki,100,RU,1570715940,76,60.47,166.1,30.07,12.47
291,mangai,92,CD,1570715940,65,-4.07,19.59,83.25,3.79
292,mutoko,99,ZW,1570715940,17,-17.4,32.23,90.39,7.55
293,kankon,40,IN,1570715940,78,15.02,74.02,82.4,2.24
294,barinitas,100,VE,1570715941,90,8.76,-70.41,57.06,3.83
295,businga,100,CD,1570715941,84,3.34,20.89,80.24,0.33
296,saint-ambroise,20,CA,1570715941,86,48.56,-71.32,43.0,1.77
297,maryborough,3,AU,1570715941,94,-25.54,152.7,55.94,2.39
298,saint-augustin,75,CA,1570715941,76,45.63,-73.98,52.0,5.82
299,general roca,100,AR,1570715942,55,-39.03,-67.58,60.8,4.7
300,namibe,70,AO,1570715942,86,-15.19,12.15,69.06,9.07
301,urubicha,0,BO,1570715942,18,-15.63,-63.08,106.81,0.7
302,krasnoyarskiy,85,RU,1570715942,63,51.97,59.9,41.85,13.08
303,nisia floresta,40,BR,1570715943,70,-6.09,-35.21,84.2,19.46
304,fort-shevchenko,3,KZ,1570715943,30,44.51,50.26,57.33,11.32
305,todos santos,5,MX,1570715943,73,23.45,-110.23,80.01,2.83
306,itoman,40,JP,1570715943,73,26.12,127.67,77.0,16.11
307,vila velha,40,BR,1570715943,52,-3.71,-38.6,87.8,16.11
308,mnichovo hradiste,75,CZ,1570715944,66,50.53,14.97,57.0,17.22
309,zaterechnyy,0,RU,1570715944,50,44.8,45.21,56.21,11.96
310,visby,20,SE,1570715944,71,57.64,18.3,55.99,10.29
311,hearst,34,CA,1570715944,68,49.69,-83.67,53.44,7.91
312,cortez,90,US,1570715944,18,37.35,-108.58,42.8,8.05
313,meulaboh,100,ID,1570715945,75,4.14,96.13,81.64,3.09
314,port hardy,5,CA,1570715945,92,50.7,-127.42,30.2,3.36
315,santa lucia,75,IT,1570715945,73,41.98,12.66,75.2,8.05
316,sinnamary,0,GF,1570715945,73,5.38,-52.96,82.04,18.18
317,palu,93,ID,1570715946,98,-0.9,119.87,66.99,1.88
318,moerai,100,PF,1570715946,65,-22.43,-151.33,67.86,11.48
319,iralaya,90,HN,1570715946,83,15.0,-83.23,80.6,11.41
320,mayskiy,0,RU,1570715947,70,43.63,44.06,58.66,6.25
321,port maria,20,JM,1570715947,69,18.37,-76.89,82.4,6.93
322,poum,75,MK,1570715947,40,41.28,20.71,73.4,2.24
323,batouri,76,CM,1570715947,86,4.44,14.36,78.84,2.45
324,oxilithos,20,GR,1570715947,69,38.58,24.12,79.0,8.05
325,dicabisagan,32,PH,1570715947,84,17.08,122.42,76.82,9.14
326,vallenar,49,CL,1570715948,54,-28.58,-70.76,63.21,10.39
327,vila franca do campo,20,PT,1570715948,53,37.72,-25.43,71.6,6.93
328,lompoc,90,US,1570715948,100,34.64,-120.46,59.0,9.17
329,radhanpur,0,IN,1570715948,45,23.83,71.61,85.73,4.51
330,bambanglipuro,85,ID,1570715949,91,-7.95,110.28,73.33,3.97
331,dilla,98,ET,1570715949,94,6.41,38.31,56.57,5.02
332,rani,0,IN,1570715949,32,25.35,73.31,80.04,5.22
333,vostok,100,RU,1570715949,86,46.45,135.83,48.45,3.8
334,sutysky,41,UA,1570715949,42,49.05,28.42,64.99,15.66
335,miranda,0,BR,1570715950,25,-20.24,-56.38,100.78,6.58
336,san quintin,0,PH,1570715950,88,17.54,120.52,72.84,3.31
337,aswan,52,EG,1570715950,14,24.09,32.9,107.6,5.82
338,mingshui,0,CN,1570715950,81,22.81,109.89,74.88,5.42
339,takayama,0,JP,1570715950,92,36.14,137.25,66.0,4.86
340,mirnyy,100,RU,1570715950,95,56.57,36.46,44.56,7.23
341,buraydah,20,SA,1570715951,27,26.33,43.97,98.6,11.41
342,iguape,100,BR,1570715951,64,-24.7,-47.56,77.85,4.47
343,puerto ayacucho,40,CO,1570715951,83,5.66,-67.63,80.6,1.77
344,yaan,77,NG,1570715951,80,7.38,8.57,82.72,2.61
345,ambon,75,FR,1570715952,72,47.55,-2.56,66.0,9.17
346,bushehr,0,IR,1570715952,50,28.97,50.84,95.0,4.7
347,hailar,0,CN,1570715952,44,49.2,119.7,26.42,8.18
348,orlik,20,PL,1570715952,81,53.95,17.74,53.01,14.99
349,ust-tsilma,100,RU,1570715952,89,65.44,52.15,33.67,6.96
350,nueve de julio,14,AR,1570715953,21,-31.67,-68.39,82.96,5.33
351,souillac,75,FR,1570715953,64,45.6,-0.6,69.01,12.75
352,manadhoo,100,MV,1570715953,75,5.77,73.38,81.99,9.61
353,poplar bluff,1,US,1570715953,77,36.76,-90.39,69.8,7.77
354,rio gallegos,20,AR,1570715953,51,-51.62,-69.22,37.4,35.57
355,charlottesville,90,US,1570715954,93,38.03,-78.48,60.01,3.82
356,kirakira,79,SB,1570715954,87,-10.46,161.92,75.22,5.43
357,camacha,40,PT,1570715954,64,33.08,-16.33,73.4,13.87
358,pingdingshan,77,CN,1570715954,78,33.74,113.3,63.39,5.11
359,santa maria,40,BR,1570715955,50,-16.02,-48.01,80.01,13.87
360,klaksvik,75,FO,1570715955,100,62.23,-6.59,44.6,17.22
361,danshui,11,CN,1570715955,78,22.81,114.46,84.0,11.18
362,boden,20,SE,1570715955,78,65.83,21.69,35.6,2.24
363,weatherford,90,US,1570715955,78,32.76,-97.8,79.0,12.75
364,lasa,20,CY,1570715955,65,34.92,32.53,82.4,13.87
365,perth,75,AU,1570715956,77,-31.95,115.86,64.0,5.82
366,cayenne,75,GF,1570715956,66,4.94,-52.33,86.0,8.05
367,glenwood springs,90,US,1570715956,86,39.55,-107.33,32.0,9.17
368,alice springs,0,AU,1570715956,14,-23.7,133.88,62.6,11.22
369,muros,20,ES,1570715957,60,42.77,-9.06,75.0,8.05
370,popondetta,100,PG,1570715957,95,-8.77,148.24,65.28,1.27
371,kamenskiy,97,RU,1570715957,59,50.89,45.49,52.81,10.58
372,manokwari,64,ID,1570715957,82,-0.87,134.08,71.06,6.66
373,beira,20,ES,1570715957,68,43.2,-8.36,73.0,5.82
374,makakilo city,20,US,1570715958,78,21.35,-158.09,80.6,4.07
375,aliaga,75,PH,1570715958,78,15.5,120.85,80.6,8.05
376,sibolga,100,ID,1570715958,98,1.74,98.78,72.41,0.73
377,california city,90,US,1570715958,25,35.13,-117.99,57.2,5.82
378,aldan,100,RU,1570715958,96,58.61,125.39,12.7,9.2
379,litovko,38,RU,1570715959,75,49.24,135.18,39.96,6.47
380,nemuro,100,JP,1570715959,80,43.32,145.57,59.22,11.68
381,rawson,100,AR,1570715959,50,-43.3,-65.11,60.21,16.94
382,hovd,0,NO,1570715959,70,63.83,10.7,51.01,2.24
383,keti bandar,0,PK,1570715960,71,24.14,67.45,83.5,10.85
384,doka,52,SD,1570715960,64,13.52,35.76,83.44,1.58
385,kawalu,89,ID,1570715960,87,-7.38,108.21,67.71,1.03
